K,Joy,Anger,Fear,Macro F1,Accuracy
0,0.6623,0.6055,0.4686,0.5788,0.6080
3,0.7034,0.6217,0.0521,0.4591,0.5572
4,0.7150,0.6239,0.6017,0.6469,0.6795
5,0.6176,0.5774,0.0072,0.4007,0.5152
6,0.7479,0.6035,0.0010,0.4508,0.5647
7,0.7837,0.6960,0.5486,0.6761,0.7099
8,0.7803,0.6662,0.5879,0.6781,0.7083
9,0.7866,0.6838,0.5426,0.6710,0.7052
10,0.7885,0.6860,0.5705,0.6816,0.7130
11,0.7862,0.6924,0.5561,0.6782,0.7087
12,0.7815,0.6826,0.4846,0.6496,0.6892
13,0.7902,0.6931,0.5870,0.6901,0.7162
14,0.7967,0.6986,0.6064,0.7006,0.7243
15,0.7946,0.6993,0.6160,0.7033,0.7254
16,0.7862,0.6820,0.4635,0.6439,0.6821
17,0.7915,0.6984,0.6209,0.7036,0.7247
18,0.8014,0.7019,0.5965,0.7000,0.7243
19,0.8034,0.7215,0.6067,0.7105,0.7320
20,0.7950,0.7112,0.5651,0.6905,0.7170
21,0.8060,0.6974,0.5371,0.6801,0.7102
22,0.8043,0.6967,0.5543,0.6851,0.7155
23,0.8074,0.7165,0.5704,0.6981,0.7225
24,0.8041,0.7208,0.6585,0.7278,0.7439
25,0.8094,0.7407,0.6430,0.7310,0.7473
26,0.8033,0.7276,0.5970,0.7093,0.7340
27,0.8068,0.7282,0.6017,0.7123,0.7341
28,0.7989,0.7216,0.6031,0.7079,0.7291
29,0.8078,0.7279,0.5483,0.6947,0.7221
30,0.8009,0.7290,0.6078,0.7126,0.7346
31,0.8068,0.7192,0.5896,0.7052,0.7284
32,0.8097,0.7313,0.5766,0.7059,0.7302
33,0.7997,0.7325,0.5652,0.6991,0.7249
34,0.7986,0.7175,0.5819,0.6993,0.7237
35,0.8087,0.7239,0.5861,0.7063,0.7284
36,0.8149,0.7402,0.6032,0.7194,0.7402
37,0.8165,0.7342,0.6086,0.7197,0.7407
38,0.8116,0.7405,0.5838,0.7120,0.7356
39,0.8143,0.7442,0.5923,0.7169,0.7388
40,0.8053,0.7316,0.5738,0.7036,0.7286
41,0.8169,0.7432,0.5925,0.7175,0.7399
42,0.8105,0.7407,0.5862,0.7125,0.7360
43,0.8090,0.7300,0.5654,0.7015,0.7275
44,0.8089,0.7334,0.5831,0.7085,0.7328
45,0.8020,0.7128,0.4989,0.6712,0.7063
46,0.8106,0.7229,0.5355,0.6897,0.7205
47,0.8080,0.7265,0.5405,0.6917,0.7218
48,0.8196,0.7429,0.5889,0.7171,0.7407
49,0.8138,0.7443,0.5977,0.7186,0.7399
50,0.8094,0.7319,0.5693,0.7036,0.7288
51,0.8116,0.7350,0.5528,0.6998,0.7270
52,0.8179,0.7430,0.5750,0.7120,0.7362
53,0.8227,0.7447,0.5828,0.7167,0.7402
54,0.8165,0.7431,0.6222,0.7273,0.7465
55,0.8161,0.7423,0.5820,0.7135,0.7376
56,0.8091,0.7403,0.5682,0.7059,0.7315
57,0.8175,0.7396,0.5595,0.7055,0.7315
58,0.8195,0.7503,0.5920,0.7206,0.7430
59,0.8166,0.7484,0.5877,0.7176,0.7422
60,0.8125,0.7311,0.5868,0.7102,0.7343
61,0.8196,0.7483,0.5810,0.7163,0.7401
62,0.8150,0.7386,0.5949,0.7162,0.7393
63,0.8156,0.7370,0.6092,0.7206,0.7414
64,0.8244,0.7579,0.6378,0.7400,0.7566
65,0.8203,0.7477,0.5920,0.7200,0.7430
66,0.8152,0.7331,0.5550,0.7011,0.7292
67,0.8173,0.7411,0.5679,0.7088,0.7342
68,0.8172,0.7391,0.5588,0.7050,0.7320
69,0.8253,0.7386,0.5699,0.7113,0.7357
70,0.8180,0.7545,0.5959,0.7228,0.7441
71,0.8210,0.7411,0.5774,0.7132,0.7363
72,0.8207,0.7326,0.5632,0.7055,0.7316
73,0.8142,0.7372,0.5545,0.7020,0.7287
74,0.8168,0.7424,0.5781,0.7124,0.7360
75,0.8168,0.7428,0.6023,0.7206,0.7418
76,0.8174,0.7428,0.5732,0.7111,0.7357
77,0.8137,0.7424,0.5857,0.7139,0.7364
78,0.8133,0.7264,0.5663,0.7020,0.7283
79,0.8186,0.7494,0.5801,0.7160,0.7402
80,0.8176,0.7476,0.5732,0.7128,0.7369
81,0.8192,0.7368,0.5693,0.7084,0.7346
82,0.8162,0.7420,0.5735,0.7106,0.7348
83,0.8131,0.7399,0.5887,0.7139,0.7379
84,0.8221,0.7575,0.6096,0.7298,0.7501
85,0.8179,0.7357,0.5513,0.7016,0.7298
86,0.8218,0.7437,0.5597,0.7084,0.7358
87,0.8156,0.7406,0.5918,0.7160,0.7393
88,0.8154,0.7404,0.5740,0.7099,0.7354
89,0.8173,0.7467,0.5852,0.7164,0.7399
90,0.8226,0.7467,0.5861,0.7185,0.7416
91,0.8161,0.7434,0.5846,0.7147,0.7372
92,0.8237,0.7496,0.5915,0.7216,0.7451
93,0.8220,0.7386,0.5459,0.7022,0.7308
94,0.8161,0.7426,0.6008,0.7198,0.7414
95,0.8124,0.7388,0.5727,0.7080,0.7327
96,0.8186,0.7447,0.5754,0.7129,0.7375
97,0.8292,0.7407,0.5565,0.7088,0.7364
98,0.8292,0.7407,0.5565,0.7088,0.7364
99,0.8226,0.7300,0.5386,0.6971,0.7265
100,0.8226,0.7300,0.5386,0.6971,0.7265
