K,Joy,Anger,Fear,Macro F1,Accuracy
0,0.5696,0.5000,0.1296,0.3997,0.4700
3,0.5320,0.4460,0.0000,0.3260,0.4347
4,0.3545,0.4992,0.4063,0.4200,0.4903
5,0.5232,0.4535,0.0000,0.3256,0.4460
6,0.6232,0.5714,0.0000,0.3982,0.4993
7,0.6296,0.6570,0.3475,0.5447,0.5887
8,0.6002,0.6125,0.3776,0.5301,0.5670
9,0.7349,0.6435,0.3584,0.5789,0.6233
10,0.7664,0.6688,0.4435,0.6262,0.6603
11,0.7265,0.6708,0.4287,0.6087,0.6380
12,0.7334,0.6480,0.2666,0.5493,0.6107
13,0.7619,0.6756,0.4164,0.6180,0.6503
14,0.7714,0.6707,0.3759,0.6060,0.6440
15,0.7638,0.6484,0.3014,0.5712,0.6197
16,0.7531,0.6128,0.1471,0.5043,0.5793
17,0.7740,0.6545,0.3776,0.6020,0.6423
18,0.7951,0.6516,0.3032,0.5833,0.6357
19,0.7528,0.6636,0.3206,0.5790,0.6300
20,0.7564,0.6603,0.2641,0.5603,0.6203
21,0.7869,0.6417,0.2087,0.5458,0.6073
22,0.7971,0.6547,0.2121,0.5546,0.6233
23,0.7961,0.6533,0.2930,0.5808,0.6313
24,0.7784,0.6755,0.4177,0.6239,0.6610
25,0.7869,0.6792,0.3760,0.6140,0.6543
26,0.7754,0.6706,0.2872,0.5778,0.6360
27,0.7944,0.6714,0.2900,0.5853,0.6420
28,0.7782,0.6785,0.3602,0.6056,0.6493
29,0.8020,0.6655,0.2467,0.5714,0.6350
30,0.7856,0.6828,0.3411,0.6032,0.6533
31,0.8045,0.6708,0.2973,0.5908,0.6450
32,0.8123,0.6756,0.2777,0.5885,0.6467
33,0.7942,0.6717,0.2435,0.5698,0.6353
34,0.8020,0.6784,0.2711,0.5838,0.6447
35,0.8231,0.6569,0.2882,0.5894,0.6430
36,0.8253,0.6802,0.3090,0.6048,0.6573
37,0.8314,0.6775,0.3215,0.6102,0.6617
38,0.8143,0.6792,0.2924,0.5953,0.6517
39,0.8334,0.6829,0.3306,0.6156,0.6650
40,0.7950,0.6700,0.2482,0.5711,0.6370
41,0.8055,0.6830,0.3214,0.6033,0.6560
42,0.8170,0.6815,0.2934,0.5973,0.6550
43,0.8161,0.6721,0.2437,0.5773,0.6443
44,0.8254,0.6813,0.3110,0.6059,0.6590
45,0.8087,0.6578,0.1375,0.5347,0.6200
46,0.7911,0.6613,0.1714,0.5413,0.6177
47,0.8034,0.6613,0.1516,0.5388,0.6213
48,0.8165,0.6670,0.2391,0.5742,0.6383
49,0.8172,0.6836,0.3415,0.6141,0.6630
50,0.8150,0.6714,0.2699,0.5855,0.6447
51,0.8109,0.6552,0.1903,0.5521,0.6243
52,0.8313,0.6752,0.2831,0.5965,0.6533
53,0.8206,0.6714,0.2406,0.5775,0.6433
54,0.8192,0.6780,0.2993,0.5988,0.6547
55,0.8235,0.6842,0.3187,0.6088,0.6617
56,0.8073,0.6855,0.2763,0.5897,0.6520
57,0.8330,0.6701,0.2653,0.5894,0.6510
58,0.8295,0.6847,0.2695,0.5946,0.6567
59,0.8171,0.6780,0.2294,0.5748,0.6453
60,0.8087,0.6636,0.2623,0.5782,0.6377
61,0.8319,0.6750,0.2586,0.5885,0.6507
62,0.8203,0.6742,0.2479,0.5808,0.6463
63,0.8426,0.6904,0.3282,0.6204,0.6703
64,0.8456,0.6854,0.3745,0.6352,0.6760
65,0.8213,0.6758,0.2838,0.5936,0.6520
66,0.8315,0.6788,0.2495,0.5866,0.6523
67,0.8249,0.6729,0.2300,0.5759,0.6457
68,0.8313,0.6694,0.2439,0.5815,0.6477
69,0.8405,0.6719,0.3022,0.6049,0.6583
70,0.8331,0.6971,0.3297,0.6200,0.6723
71,0.8317,0.6824,0.3267,0.6136,0.6643
72,0.8211,0.6683,0.2576,0.5823,0.6447
73,0.8153,0.6696,0.2332,0.5727,0.6380
74,0.8283,0.6793,0.3080,0.6052,0.6597
75,0.8355,0.6926,0.3770,0.6351,0.6783
76,0.8342,0.6778,0.2895,0.6005,0.6580
77,0.8382,0.6793,0.2929,0.6035,0.6600
78,0.8388,0.6646,0.2588,0.5874,0.6490
79,0.8353,0.6855,0.2989,0.6066,0.6640
80,0.8300,0.6732,0.2960,0.5998,0.6550
81,0.8394,0.6719,0.2680,0.5931,0.6537
82,0.8384,0.6765,0.2822,0.5990,0.6577
83,0.8181,0.6905,0.3565,0.6217,0.6697
84,0.8387,0.7013,0.3732,0.6377,0.6827
85,0.8372,0.6748,0.2666,0.5929,0.6563
86,0.8356,0.6716,0.2315,0.5796,0.6490
87,0.8396,0.6827,0.3029,0.6084,0.6650
88,0.8338,0.6727,0.2748,0.5937,0.6543
89,0.8319,0.6797,0.2759,0.5958,0.6573
90,0.8339,0.6719,0.2862,0.5973,0.6547
91,0.8290,0.6793,0.3198,0.6094,0.6613
92,0.8566,0.6939,0.3252,0.6252,0.6793
93,0.8449,0.6766,0.2600,0.5938,0.6567
94,0.8359,0.6785,0.3263,0.6136,0.6653
95,0.8274,0.6674,0.2207,0.5718,0.6417
96,0.8255,0.6674,0.2423,0.5784,0.6447
97,0.8405,0.6772,0.2406,0.5861,0.6520
98,0.8405,0.6772,0.2406,0.5861,0.6520
99,0.8425,0.6687,0.2225,0.5779,0.6473
100,0.8425,0.6687,0.2225,0.5779,0.6473
