K,Joy,Sadness,Anger,Fear,Surprise,Macro F1,Accuracy
0,0.5015,0.4114,0.4754,0.4818,0.2184,0.4177,0.4430
5,0.6279,0.5387,0.5768,0.0566,0.4682,0.4536,0.5181
6,0.6268,0.5767,0.6085,0.5369,0.4701,0.5638,0.5916
7,0.6450,0.5747,0.5283,0.5293,0.4716,0.5498,0.5813
8,0.5761,0.5804,0.5675,0.5232,0.0372,0.4569,0.5189
9,0.5874,0.5878,0.5299,0.5124,0.0183,0.4472,0.5176
10,0.6311,0.5999,0.5860,0.5578,0.4607,0.5671,0.5922
11,0.6294,0.6305,0.6524,0.5971,0.4730,0.5965,0.6156
12,0.6408,0.6203,0.5914,0.5142,0.4686,0.5671,0.5934
13,0.6149,0.6277,0.6162,0.5747,0.3824,0.5632,0.5894
14,0.6200,0.6449,0.6409,0.5540,0.4212,0.5762,0.6031
15,0.6207,0.6305,0.6103,0.5526,0.3997,0.5627,0.5896
16,0.6417,0.6696,0.6402,0.6029,0.4974,0.6104,0.6280
17,0.6232,0.6299,0.5864,0.5878,0.4078,0.5670,0.5926
18,0.6246,0.6390,0.5880,0.5773,0.3711,0.5600,0.5893
19,0.6073,0.6353,0.6174,0.5634,0.3360,0.5519,0.5837
20,0.6159,0.6327,0.6130,0.5742,0.4333,0.5738,0.5973
21,0.6406,0.6420,0.6270,0.6052,0.4928,0.6015,0.6184
22,0.6191,0.5767,0.5881,0.5182,0.4199,0.5444,0.5738
23,0.6355,0.6643,0.6269,0.5634,0.4230,0.5826,0.6070
24,0.6218,0.6721,0.6298,0.5884,0.3974,0.5819,0.6048
25,0.6339,0.6574,0.6305,0.5902,0.4860,0.5996,0.6168
26,0.6476,0.6604,0.6344,0.6036,0.4856,0.6063,0.6234
27,0.6280,0.6680,0.6223,0.5990,0.4418,0.5918,0.6115
28,0.6386,0.6533,0.6355,0.5844,0.4307,0.5885,0.6099
29,0.6209,0.6475,0.6248,0.5930,0.3845,0.5741,0.6002
30,0.6211,0.6542,0.6219,0.5989,0.4050,0.5802,0.6032
31,0.6269,0.6668,0.6398,0.6063,0.4637,0.6007,0.6190
32,0.6314,0.6650,0.6431,0.5857,0.4445,0.5939,0.6146
33,0.6369,0.6707,0.6367,0.5806,0.4516,0.5953,0.6151
34,0.6307,0.6848,0.6534,0.6132,0.4142,0.5993,0.6209
35,0.6278,0.6707,0.6487,0.6233,0.4190,0.5979,0.6169
36,0.6304,0.6791,0.6507,0.6134,0.4278,0.6003,0.6201
37,0.6321,0.6809,0.6458,0.6299,0.4291,0.6036,0.6239
38,0.6336,0.6644,0.6407,0.5616,0.4047,0.5810,0.6063
39,0.6272,0.6481,0.6413,0.6037,0.4244,0.5889,0.6098
40,0.6371,0.6660,0.6491,0.6245,0.4527,0.6059,0.6238
41,0.6334,0.6735,0.6428,0.6043,0.4650,0.6038,0.6211
42,0.6301,0.6798,0.6543,0.6016,0.4418,0.6015,0.6213
43,0.6323,0.6812,0.6634,0.5940,0.4496,0.6041,0.6227
44,0.6194,0.6930,0.6457,0.5815,0.4024,0.5884,0.6098
45,0.6313,0.6823,0.6454,0.5661,0.4159,0.5882,0.6121
46,0.6322,0.6878,0.6608,0.6210,0.4257,0.6055,0.6242
47,0.6371,0.6771,0.6458,0.6269,0.4433,0.6060,0.6240
48,0.6157,0.6717,0.6421,0.5921,0.3708,0.5785,0.6022
49,0.6214,0.6627,0.6388,0.5642,0.3986,0.5771,0.5998
50,0.6319,0.6689,0.6451,0.5878,0.4221,0.5912,0.6119
51,0.6334,0.6681,0.6557,0.6063,0.4439,0.6015,0.6203
52,0.6340,0.6848,0.6610,0.6470,0.4500,0.6154,0.6325
53,0.6302,0.6799,0.6567,0.5884,0.3990,0.5908,0.6138
54,0.6319,0.6760,0.6413,0.5707,0.4092,0.5858,0.6093
55,0.6302,0.6871,0.6567,0.6367,0.4219,0.6065,0.6252
56,0.6328,0.6863,0.6506,0.6445,0.4515,0.6131,0.6291
57,0.6334,0.6702,0.6404,0.5990,0.3941,0.5874,0.6104
58,0.6369,0.6800,0.6580,0.6244,0.4292,0.6057,0.6256
59,0.6329,0.6737,0.6654,0.6223,0.4166,0.6022,0.6222
60,0.6369,0.6739,0.6528,0.6239,0.4265,0.6028,0.6233
61,0.6314,0.6827,0.6533,0.6099,0.4438,0.6042,0.6219
62,0.6263,0.6811,0.6582,0.6147,0.4156,0.5992,0.6198
63,0.6354,0.6878,0.6579,0.6003,0.4242,0.6011,0.6223
64,0.6248,0.6806,0.6610,0.6181,0.4128,0.5995,0.6192
65,0.6278,0.6817,0.6626,0.6163,0.4485,0.6074,0.6243
66,0.6309,0.6896,0.6614,0.6274,0.4604,0.6139,0.6298
67,0.6365,0.7015,0.6650,0.6156,0.4538,0.6145,0.6319
68,0.6196,0.6769,0.6565,0.5836,0.3521,0.5778,0.6051
69,0.6452,0.6868,0.6513,0.6181,0.4547,0.6112,0.6293
70,0.6400,0.6914,0.6657,0.6482,0.4293,0.6149,0.6335
71,0.6337,0.6973,0.6655,0.6432,0.4367,0.6153,0.6337
72,0.6387,0.6728,0.6529,0.5955,0.4395,0.5999,0.6200
73,0.6304,0.6916,0.6610,0.6061,0.4069,0.5992,0.6202
74,0.6250,0.6845,0.6663,0.6309,0.3825,0.5978,0.6196
75,0.6346,0.6774,0.6714,0.6338,0.4083,0.6051,0.6256
76,0.6363,0.6843,0.6640,0.6217,0.4438,0.6100,0.6284
77,0.6324,0.6923,0.6789,0.6481,0.4024,0.6108,0.6296
78,0.6324,0.6917,0.6573,0.6440,0.4114,0.6074,0.6264
79,0.6285,0.6804,0.6587,0.6270,0.3694,0.5928,0.6154
80,0.6244,0.6806,0.6590,0.6236,0.3845,0.5944,0.6152
81,0.6354,0.6868,0.6658,0.6165,0.4376,0.6084,0.6264
82,0.6425,0.6989,0.6728,0.6098,0.4590,0.6166,0.6337
83,0.6349,0.6983,0.6705,0.6190,0.4413,0.6128,0.6308
84,0.6296,0.6958,0.6714,0.6387,0.4115,0.6094,0.6283
85,0.6388,0.7020,0.6716,0.6550,0.4328,0.6200,0.6370
86,0.6331,0.6971,0.6773,0.6393,0.3916,0.6077,0.6285
87,0.6429,0.6933,0.6768,0.6551,0.4512,0.6239,0.6393
88,0.6422,0.6936,0.6768,0.6475,0.4417,0.6203,0.6383
89,0.6363,0.6807,0.6678,0.6378,0.4132,0.6072,0.6268
90,0.6427,0.6946,0.6757,0.6483,0.4211,0.6165,0.6359
91,0.6465,0.6939,0.6736,0.6472,0.4652,0.6253,0.6415
92,0.6444,0.7009,0.6775,0.6504,0.4629,0.6272,0.6427
93,0.6492,0.6856,0.6810,0.6500,0.4612,0.6254,0.6411
94,0.6431,0.6926,0.6887,0.6613,0.4250,0.6221,0.6400
95,0.6457,0.6901,0.6665,0.6482,0.4184,0.6138,0.6333
96,0.6458,0.6966,0.6737,0.6385,0.4540,0.6217,0.6385
97,0.6406,0.6980,0.6731,0.6453,0.4539,0.6222,0.6383
98,0.6361,0.6986,0.6648,0.6493,0.4496,0.6197,0.6355
99,0.6418,0.6963,0.6657,0.6323,0.4328,0.6138,0.6324
100,0.6418,0.6958,0.6730,0.6399,0.4719,0.6245,0.6403
