K,Joy,Sadness,Anger,Fear,Surprise,Macro F1,Accuracy
0,0.4559,0.3216,0.5368,0.5474,0.1745,0.4072,0.4200
5,0.5753,0.2745,0.5176,0.0334,0.1039,0.3009,0.3854
6,0.5919,0.3271,0.5757,0.5507,0.1546,0.4400,0.4924
7,0.5760,0.2760,0.5137,0.5314,0.1502,0.4094,0.4634
8,0.5941,0.4278,0.6540,0.5690,0.0000,0.4490,0.5102
9,0.5847,0.3468,0.5601,0.5371,0.0000,0.4057,0.4786
10,0.6370,0.2986,0.5823,0.5573,0.2257,0.4602,0.5068
11,0.6498,0.3291,0.6365,0.5715,0.2078,0.4790,0.5270
12,0.6184,0.3437,0.5328,0.4638,0.2552,0.4428,0.4914
13,0.6251,0.4070,0.6469,0.6174,0.1501,0.4893,0.5362
14,0.6239,0.4399,0.6457,0.5637,0.1952,0.4937,0.5390
15,0.6274,0.3924,0.6185,0.5799,0.1988,0.4834,0.5316
16,0.6403,0.4593,0.6672,0.6248,0.2785,0.5340,0.5654
17,0.6285,0.3650,0.5991,0.5776,0.1890,0.4718,0.5170
18,0.6286,0.5197,0.6442,0.6167,0.1961,0.5211,0.5598
19,0.6202,0.4719,0.6656,0.6160,0.1665,0.5080,0.5510
20,0.6132,0.4426,0.6317,0.5883,0.1808,0.4913,0.5392
21,0.6472,0.4437,0.6223,0.6227,0.3058,0.5283,0.5596
22,0.6326,0.2552,0.5945,0.5490,0.2693,0.4601,0.5172
23,0.6263,0.4334,0.6162,0.5847,0.2055,0.4932,0.5348
24,0.6325,0.5451,0.6543,0.6257,0.2609,0.5437,0.5740
25,0.6402,0.4781,0.6422,0.6287,0.3212,0.5421,0.5694
26,0.6571,0.4711,0.6472,0.6064,0.3026,0.5369,0.5686
27,0.6442,0.4988,0.6220,0.5838,0.2591,0.5216,0.5576
28,0.6279,0.4525,0.6541,0.5965,0.2445,0.5151,0.5500
29,0.6322,0.4526,0.6390,0.6512,0.1553,0.5060,0.5544
30,0.6325,0.4846,0.6413,0.6292,0.1876,0.5151,0.5562
31,0.6318,0.4936,0.6580,0.6585,0.2970,0.5478,0.5764
32,0.6358,0.5127,0.6452,0.5857,0.2289,0.5217,0.5600
33,0.6397,0.4927,0.6462,0.6384,0.2166,0.5267,0.5614
34,0.6434,0.5631,0.6643,0.6289,0.1983,0.5396,0.5806
35,0.6361,0.5144,0.6428,0.6167,0.1983,0.5217,0.5622
36,0.6468,0.5493,0.6573,0.6484,0.2752,0.5554,0.5862
37,0.6405,0.5415,0.6738,0.6777,0.2458,0.5559,0.5874
38,0.6376,0.4837,0.6464,0.5898,0.2131,0.5141,0.5526
39,0.6275,0.4566,0.6470,0.6665,0.2304,0.5256,0.5622
40,0.6535,0.5056,0.6567,0.6544,0.2902,0.5521,0.5802
41,0.6478,0.5241,0.6616,0.6166,0.3272,0.5555,0.5808
42,0.6395,0.5612,0.6741,0.6332,0.2356,0.5487,0.5822
43,0.6574,0.5472,0.6821,0.6403,0.2947,0.5643,0.5922
44,0.6406,0.5549,0.6455,0.5703,0.2222,0.5267,0.5642
45,0.6464,0.5515,0.6572,0.5744,0.2634,0.5386,0.5726
46,0.6516,0.5661,0.6577,0.6506,0.2725,0.5597,0.5908
47,0.6516,0.5465,0.6623,0.6404,0.2811,0.5564,0.5858
48,0.6305,0.5510,0.6623,0.6091,0.1727,0.5251,0.5670
49,0.6378,0.5246,0.6563,0.6234,0.2112,0.5307,0.5688
50,0.6429,0.5475,0.6694,0.6237,0.2351,0.5437,0.5798
51,0.6476,0.5380,0.6704,0.6444,0.3063,0.5613,0.5892
52,0.6453,0.5779,0.6678,0.6746,0.2652,0.5662,0.5954
53,0.6343,0.5666,0.6626,0.5986,0.2194,0.5363,0.5744
54,0.6394,0.5456,0.6549,0.6185,0.2135,0.5344,0.5714
55,0.6463,0.5934,0.6840,0.6778,0.2591,0.5721,0.6024
56,0.6321,0.5735,0.6492,0.6731,0.2222,0.5500,0.5824
57,0.6447,0.5539,0.6681,0.6168,0.1922,0.5351,0.5724
58,0.6453,0.5758,0.6746,0.6330,0.2352,0.5528,0.5868
59,0.6372,0.5659,0.6922,0.6629,0.2036,0.5524,0.5892
60,0.6463,0.5695,0.6811,0.6335,0.2370,0.5535,0.5884
61,0.6424,0.5849,0.6759,0.6134,0.2854,0.5604,0.5904
62,0.6347,0.5635,0.6876,0.5947,0.2268,0.5415,0.5798
63,0.6423,0.5813,0.6734,0.6081,0.2171,0.5444,0.5814
64,0.6447,0.5586,0.6730,0.6333,0.2332,0.5486,0.5832
65,0.6448,0.5791,0.6781,0.6416,0.3056,0.5698,0.5964
66,0.6490,0.5986,0.6911,0.6580,0.3263,0.5846,0.6076
67,0.6428,0.6028,0.6925,0.6102,0.2728,0.5642,0.5970
68,0.6414,0.5773,0.6897,0.5910,0.1643,0.5327,0.5776
69,0.6561,0.5802,0.6742,0.6581,0.2061,0.5550,0.5902
70,0.6655,0.5923,0.6878,0.6747,0.2798,0.5800,0.6070
71,0.6580,0.6003,0.6903,0.6651,0.3039,0.5835,0.6084
72,0.6611,0.5618,0.6819,0.5994,0.3085,0.5626,0.5906
73,0.6498,0.5897,0.6794,0.6119,0.2136,0.5489,0.5868
74,0.6435,0.5618,0.6841,0.6204,0.1884,0.5396,0.5782
75,0.6542,0.5580,0.6812,0.6287,0.2358,0.5516,0.5852
76,0.6415,0.5777,0.6755,0.6225,0.2364,0.5507,0.5846
77,0.6484,0.5868,0.6880,0.6471,0.2358,0.5612,0.5932
78,0.6502,0.6034,0.6781,0.6608,0.2303,0.5646,0.5970
79,0.6475,0.5922,0.6821,0.6306,0.2248,0.5554,0.5918
80,0.6342,0.5899,0.6761,0.6444,0.1903,0.5470,0.5852
81,0.6500,0.6024,0.6810,0.6397,0.2641,0.5674,0.5984
